word,count
瘴(330),5/39495
瘵(331),4/39499
瘸(332),1/39500
瘺(333),1/39501
瘻(334),1/39502
瘼(335),1/39503
瘿(336),2/39505
療(337),5/39510
癃(338),2/39512
癉(339),1/39513
癌(340),1/39514
癕(341),1/39515
癖(342),78/39593
癘(343),5/39598
癞(344),2/39600
癟(345),2/39602
癡(346),23/39625
癢(347),2/39627
癣(348),5/39632
癥(349),2/39634
癩(350),2/39636
癬(351),5/39641
癭(352),2/39643
癰(353),1/39644
癱(354),2/39646
癸(355),139/39785
登(356),283/40068
發(357),580/40648
白(358),611/41259
百(359),818/42077
的(360),103/42180
皀(361),1/42181
皂(362),6/42187
皆(363),765/42952
皇(364),630/43582
皈(365),4/43586
皋(366),61/43647
皎(367),40/43687
皐(368),1/43688
皓(369),176/43864
皖(370),2/43866
皙(371),1/43867
皤(372),7/43874
皦(373),5/43879
皮(374),13/43892
皱(375),2/43894
皴(376),3/43897
皺(377),2/43899
皿(378),1/43900
盂(379),5/43905
盅(380),2/43907
盆(381),11/43918
盈(382),130/44048
益(383),305/44353
盍(384),8/44361
盎(385),79/44440
盏(386),7/44447
盐(387),26/44473
监(388),193/44666
盒(389),1/44667
盔(390),1/44668
盖(391),537/45205
盗(392),208/45413
盘(393),149/45562
盛(394),371/45933
盜(395),208/46141
盞(396),7/46148
盟(397),40/46188
盡(398),447/46635
監(399),193/46828
盤(400),149/46977
盥(401),8/46985
盦(402),7/46992
盧(403),52/47044
盩(404),2/47046
盪(405),111/47157
盫(406),1/47158
盬(407),6/47164
盭(408),1/47165
目(409),311/47476
盯(410),2/47478
盱(411),92/47570
盲(412),22/47592
直(413),730/48322
相(414),1249/49571
盹(415),1/49572
盻(416),1/49573
盼(417),7/49580
盾(418),4/49584
眀(419),248/49832
省(420),211/50043
眂(421),1/50044
眄(422),14/50058
眇(423),251/50309
眈(424),7/50316
眉(425),51/50367
眊(426),2/50369
看(427),48/50417
眙(428),1/50418
眚(429),1/50419
真(430),1215/51634
眠(431),50/51684
眥(432),3/51687
眦(433),3/51690
眨(434),1/51691
眩(435),5/51696
眯(436),1/51697
眵(437),2/51699
眶(438),1/51700
眷(439),72/51772
眸(440),82/51854
眺(441),27/51881
眼(442),125/52006
眾(443),638/52644
着(444),34/52678
睁(445),6/52684
睃(446),1/52685
睇(447),6/52691
睋(448),1/52692
睎(449),2/52694
睏(450),65/52759
睐(451),6/52765
睘(452),4/52769
睛(453),4/52773
睜(454),6/52779
睞(455),6/52785
睡(456),24/52809
睢(457),11/52820
督(458),164/52984
睥(459),1/52985
睦(460),46/53031
睨(461),113/53144
睫(462),4/53148
睬(463),1/53149
睴(464),1/53150
睹(465),142/53292
睺(466),2/53294
睽(467),2/53296
睾(468),4/53300
睿(469),69/53369
瞄(470),1/53370
瞋(471),2/53372
瞍(472),1/53373
瞎(473),1/53374
瞑(474),10/53384
瞒(475),4/53388
瞞(476),4/53392
瞥(477),2/53394
瞧(478),1/53395
瞩(479),13/53408
瞪(480),3/53411
瞬(481),4/53415
瞭(482),1/53416
瞰(483),75/53491
瞳(484),1/53492
瞻(485),152/53644
瞽(486),7/53651
瞿(487),14/53665
矇(488),1/53666
矌(489),3/53669
矕(490),3/53672
矗(491),3/53675
矚(492),13/53688
矛(493),7/53695
矜(494),67/53762
矞(495),1/53763
矢(496),53/53816
矣(497),905/54721
矤(498),1/54722
知(499),1284/56006
矧(500),21/56027
矩(501),76/56103
矫(502),75/56178
短(503),77/56255
矮(504),1/56256
矯(505),75/56331
矰(506),1/56332
矱(507),3/56335
石(508),964/57299
礡(509),20/57319
礦(510),7/57326
礪(511),7/57333
礫(512),19/57352
礬(513),2/57354
礱(514),5/57359
礴(515),2/57361
示(516),278/57639
礼(517),609/58248
社(518),90/58338
礿(519),2/58340
祀(520),92/58432
祁(521),5/58437
祃(522),1/58438
祄(523),1/58439
祆(524),1/58440
祇(525),76/58516
祈(526),32/58548
祉(527),41/58589
祊(528),2/58591
祎(529),55/58646
祏(530),1/58647
祐(531),80/58727
祑(532),1/58728
祓(533),7/58735
祔(534),9/58744
祕(535),9/58753
祖(536),590/59343
祗(537),64/59407
祙(538),1/59408
祚(539),30/59438
祛(540),5/59443
祜(541),15/59458
祝(542),102/59560
神(543),1706/61266
祟(544),5/61271
祠(545),84/61355
祢(546),3/61358
祥(547),106/61464
祧(548),14/61478
票(549),2/61480
祭(550),109/61589
祯(551),30/61619
祲(552),2/61621
祴(553),1/61622
祷(554),15/61637
祸(555),107/61744
祺(556),5/61749
祿(557),249/61998
禀(558),105/62103
禁(559),88/62191
禅(560),401/62592
禇(561),6/62598
禊(562),30/62628
禋(563),1/62629
禍(564),107/62736
禎(565),30/62766
福(566),365/63131
禔(567),7/63138
禖(568),1/63139
禠(569),2/63141
禦(570),480/63621
禧(571),4/63625
禨(572),1/63626
禩(573),15/63641
