URL,Reason,Status
http://www.jidajia.com/kaishu/1402687.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1402705.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1402764.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403122.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403248.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403260.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403271.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403274.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403432.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403461.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403743.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403774.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403777.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403862.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403879.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403894.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403913.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1403920.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1404008.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1404023.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1404038.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1404044.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1405749.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1405754.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1405866.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1405893.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1405911.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1405971.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1406965.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1407198.html,dict['connection_error'],N
http://www.jidajia.com/kaishu/1407201.html,dict['connection_error'],N
